,0
0,0.3
1,0.56
2,0.65
3,0.775
4,0.955
5,0.965
6,0.99
7,0.99
8,0.985
9,0.985
10,0.97
11,0.975
12,0.975
13,0.975
14,0.975
15,0.975
16,0.975
17,0.3
18,0.3
19,0.575
20,0.665
21,0.685
22,0.73
23,0.77
24,0.77
25,0.815
26,0.94
27,0.945
28,0.98
29,0.98
30,0.98
31,0.98
32,0.975
33,0.99
34,0.4
35,0.585
36,0.65
37,0.77
38,0.94
39,0.985
40,0.985
41,0.985
42,0.98
43,0.975
44,0.975
45,0.975
46,0.98
47,0.975
48,0.98
49,0.98
50,0.98
51,0.6
52,0.695
53,0.815
54,0.805
55,0.84
56,0.84
57,0.855
58,0.845
59,0.9
60,0.945
61,0.925
62,0.94
63,0.955
64,0.975
65,0.975
66,0.97
67,0.98
