,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.3,0.56,0.6475,0.79,0.94625,0.97,0.9925,0.98875,0.985,0.985,0.97875,0.98125,0.98125,0.9825,0.98375,0.98375,0.98375
1,0.3,0.56,0.6475,0.79,0.94625,0.97,0.9925,0.98875,0.985,0.985,0.97875,0.98125,0.98125,0.9825,0.98375,0.98375,0.98375
2,0.3,0.56,0.6475,0.79,0.94625,0.97,0.9925,0.98875,0.985,0.985,0.97875,0.98125,0.98125,0.9825,0.98375,0.98375,0.98375
3,0.3,0.56,0.6475,0.79,0.94625,0.97,0.9925,0.98875,0.985,0.985,0.97875,0.98125,0.98125,0.9825,0.98375,0.98375,0.98375
4,0.3,0.56,0.6475,0.79,0.94625,0.97,0.9925,0.98875,0.985,0.985,0.97875,0.98125,0.98125,0.9825,0.98375,0.98375,0.98375
5,0.3,0.56,0.6475,0.79,0.94625,0.97,0.9925,0.98875,0.985,0.985,0.97875,0.98125,0.98125,0.9825,0.98375,0.98375,0.98375
6,0.3,0.56,0.6475,0.79,0.94625,0.97,0.9925,0.98875,0.985,0.985,0.97875,0.98125,0.98125,0.9825,0.98375,0.98375,0.98375
7,0.3,0.56,0.6475,0.79,0.94625,0.97,0.9925,0.98875,0.985,0.985,0.97875,0.98125,0.98125,0.9825,0.98375,0.98375,0.98375
8,0.3,0.56,0.6475,0.79,0.94625,0.97,0.9925,0.98875,0.985,0.985,0.97875,0.98125,0.98125,0.9825,0.98375,0.98375,0.98375
9,0.3,0.56,0.6475,0.79,0.94625,0.97,0.9925,0.98875,0.985,0.985,0.97875,0.98125,0.98125,0.9825,0.98375,0.98375,0.98375
10,0.3,0.3875,0.3875,0.6225,0.70375,0.7425,0.74375,0.745,0.7925,0.78875,0.95875,0.97875,0.9825,0.98375,0.9825,0.97875,0.985
11,0.3,0.3,0.58875,0.68,0.74125,0.74375,0.78,0.78,0.78,0.82625,0.96,0.97875,0.9825,0.97125,0.9825,0.98125,0.99
12,0.3,0.3,0.53125,0.66875,0.7,0.75,0.7525,0.795,0.79125,0.7875,0.97,0.97875,0.9875,0.98625,0.985,0.97875,0.985
13,0.3,0.3,0.575,0.575,0.675,0.74125,0.73625,0.74375,0.745,0.82625,0.96125,0.98375,0.98875,0.97625,0.98375,0.98125,0.9875
14,0.3,0.3,0.455,0.67,0.695,0.735,0.7775,0.7775,0.7775,0.8875,0.90375,0.97875,0.98375,0.985,0.98875,0.9825,0.98875
15,0.3,0.3875,0.4975,0.6475,0.7075,0.74625,0.78625,0.78625,0.85125,0.92625,0.925,0.96625,0.99,0.975,0.9875,0.98,0.9875
16,0.3,0.3,0.44,0.675,0.70875,0.74125,0.745,0.77875,0.77875,0.82625,0.96125,0.98125,0.99125,0.98,0.98375,0.9825,0.9875
17,0.3,0.3,0.4575,0.67,0.6725,0.69625,0.735,0.77875,0.825,0.86125,0.86,0.97,0.98,0.9825,0.985,0.97625,0.98125
18,0.3,0.3,0.4625,0.64125,0.705,0.74125,0.74375,0.7425,0.80875,0.96,0.96125,0.98,0.98375,0.97125,0.9825,0.9825,0.98625
19,0.3,0.3,0.575,0.675,0.69625,0.7375,0.78125,0.78,0.81125,0.96,0.96,0.9775,0.98375,0.9725,0.98375,0.98375,0.99
20,0.39875,0.58375,0.6475,0.78125,0.94375,0.9775,0.9875,0.9875,0.98375,0.9825,0.9825,0.9825,0.98375,0.98375,0.985,0.985,0.985
21,0.39875,0.58375,0.6475,0.78125,0.94375,0.9775,0.9875,0.9875,0.98375,0.9825,0.9825,0.9825,0.98375,0.98375,0.985,0.985,0.985
22,0.39875,0.58375,0.6475,0.78125,0.94375,0.9775,0.9875,0.9875,0.98375,0.9825,0.9825,0.9825,0.98375,0.98375,0.985,0.985,0.985
23,0.39875,0.58375,0.6475,0.78125,0.94375,0.9775,0.9875,0.9875,0.98375,0.9825,0.9825,0.9825,0.98375,0.98375,0.985,0.985,0.985
24,0.39875,0.58375,0.6475,0.78125,0.94375,0.9775,0.9875,0.9875,0.98375,0.9825,0.9825,0.9825,0.98375,0.98375,0.985,0.985,0.985
25,0.39875,0.58375,0.6475,0.78125,0.94375,0.9775,0.9875,0.9875,0.98375,0.9825,0.9825,0.9825,0.98375,0.98375,0.985,0.985,0.985
26,0.39875,0.58375,0.6475,0.78125,0.94375,0.9775,0.9875,0.9875,0.98375,0.9825,0.9825,0.9825,0.98375,0.98375,0.985,0.985,0.985
27,0.39875,0.58375,0.6475,0.78125,0.94375,0.9775,0.9875,0.9875,0.98375,0.9825,0.9825,0.9825,0.98375,0.98375,0.985,0.985,0.985
28,0.39875,0.58375,0.6475,0.78125,0.94375,0.9775,0.9875,0.9875,0.98375,0.9825,0.9825,0.9825,0.98375,0.98375,0.985,0.985,0.985
29,0.39875,0.58375,0.6475,0.78125,0.94375,0.9775,0.9875,0.9875,0.98375,0.9825,0.9825,0.9825,0.98375,0.98375,0.985,0.985,0.985
30,0.40375,0.48875,0.85,0.865,0.83,0.83875,0.83125,0.87625,0.915,0.95375,0.965,0.97375,0.97,0.9775,0.9775,0.98,0.98125
31,0.56375,0.785,0.89,0.92125,0.89,0.89375,0.9225,0.95,0.9475,0.9325,0.9475,0.94875,0.97,0.9675,0.98375,0.98625,0.99125
32,0.57375,0.7825,0.8175,0.855,0.91125,0.9125,0.94375,0.93875,0.94125,0.96,0.96375,0.97,0.97125,0.97125,0.97375,0.9725,0.98
33,0.4175,0.78375,0.77,0.8125,0.80875,0.8275,0.91625,0.89625,0.90875,0.91375,0.9375,0.94625,0.9525,0.95125,0.96375,0.96875,0.97125
34,0.55,0.6975,0.70875,0.81125,0.84375,0.88375,0.88625,0.8925,0.91625,0.95875,0.95875,0.9625,0.97375,0.97375,0.9875,0.98625,0.98625
35,0.3625,0.70875,0.7925,0.79625,0.83875,0.84375,0.86,0.89125,0.9125,0.9325,0.9725,0.97875,0.98375,0.98375,0.98,0.985,0.98875
36,0.47,0.71875,0.77875,0.87625,0.91125,0.90875,0.91875,0.94875,0.94875,0.95,0.95375,0.945,0.96,0.96,0.98375,0.98375,0.98625
37,0.595,0.73875,0.73375,0.7725,0.76625,0.86625,0.87875,0.8875,0.90875,0.905,0.93125,0.93125,0.9825,0.985,0.985,0.98375,0.98125
38,0.65,0.715,0.82,0.85375,0.85125,0.86625,0.9325,0.93875,0.975,0.975,0.9825,0.9825,0.98,0.9825,0.98125,0.9825,0.98625
39,0.60625,0.7075,0.82375,0.81375,0.8375,0.8325,0.8475,0.8425,0.89875,0.9225,0.915,0.9375,0.95625,0.9725,0.975,0.97875,0.9875
